reporter,partner,value,year,source,axis,product_code,sub_category,unit
JP,CA,1098004887.706,2023,un_comtrade,energy,2711,natural_gas,USD
JP,SA,1003146392.526,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,EC,993609269.293,2023,un_comtrade,energy,2709,crude_oil,USD
JP,MY,939551890.976,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,OM,935348951.713,2023,un_comtrade,energy,2709,crude_oil,USD
JP,NG,929393641.232,2022,un_comtrade,energy,2711,natural_gas,USD
JP,CN,914012773.696,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,EC,907491256.37,2024,un_comtrade,energy,2709,crude_oil,USD
JP,CN,886037247.104,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,US,809694888.266,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,RU,804631868.604,2023,un_comtrade,energy,2701,coal,USD
JP,SA,737956956.999,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,AE,732808779.46,2023,un_comtrade,energy,2711,natural_gas,USD
JP,US,718520537.708,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,ZA,716820924.826,2023,un_comtrade,energy,2701,coal,USD
JP,PE,700786880.657,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,BH,640655758.755,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,AE,624000441.453,2024,un_comtrade,energy,2711,natural_gas,USD
JP,PE,577187870.713,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,SG,542679578.342,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,CN,491813796.251,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,BH,491688309.62,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,US,481977912.659,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,CO,455358148.972,2022,un_comtrade,energy,2701,coal,USD
JP,ZA,451904799.115,2024,un_comtrade,energy,2701,coal,USD
JP,DZ,450660326.056,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,DZ,425747835.11,2023,un_comtrade,energy,2710,petroleum_products,USD
JP,BH,399730284.504,2022,un_comtrade,energy,2709,crude_oil,USD
JP,CO,397876145.975,2023,un_comtrade,energy,2701,coal,USD
JP,MX,397200066.306,2022,un_comtrade,energy,2709,crude_oil,USD
JP,AU,394557633.726,2023,un_comtrade,energy,2709,crude_oil,USD
JP,VN,394001587.732,2022,un_comtrade,energy,2709,crude_oil,USD
JP,KW,375358366.598,2022,un_comtrade,energy,2711,natural_gas,USD
JP,OM,373214341.78,2024,un_comtrade,energy,2709,crude_oil,USD
JP,IN,369763253.46,2022,un_comtrade,energy,2710,petroleum_products,USD
JP,NG,359722211.151,2024,un_comtrade,energy,2711,natural_gas,USD
JP,ZA,353183118.46,2022,un_comtrade,energy,2701,coal,USD
JP,SG,345030956.342,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,SA,330975602.622,2024,un_comtrade,energy,2710,petroleum_products,USD
JP,ES,327257619.706,2022,un_comtrade,energy,2710,petroleum_products,USD
