country,score
AT,0.2605790959
BE,0.2945457337
BG,0.1520427216
CY,0.2243835399
CZ,0.1824226896
DE,0.0976282439
DK,0.1499592808
EE,0.2271314207
EL,0.1627214227
ES,0.1926324891
FI,0.1978932123
FR,0.1200105876
HR,0.1734398167
HU,0.2253812214
IE,0.5869593876
IT,0.1410338408
LT,0.2417227898
LU,0.2001972149
LV,0.1330960709
MT,0.2054699133
NL,0.1252737493
PL,0.2084535911
PT,0.1976606196
RO,0.2969115267
SE,0.1198279705
SI,0.3573991177
SK,0.2164918554
