reporter,partner,value,year,source,axis,product_code,sub_category,unit
JP,FR,38480132.108,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,GB,38188850.433,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,BE,35625416.473,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,VN,33713598.938,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,MX,33539826.685,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,GB,31517581.157,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,BE,31398162.93,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,GB,30347586.749,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,HU,27964776.769,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CR,24537897.829,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,GB,23594226.328,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CZ,22895351.454,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,CZ,20018069.423,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,HU,19333516.415,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,MX,19163102.006,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,NL,16747696.299,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,CZ,16487777.454,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,CZ,16469523.722,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,GB,15994801.17,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,HU,15347258.295,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,AT,15110958.512,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,MX,14484672.264,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,NL,13810537.849,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,NL,12072726.252,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,AT,10941825.79,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,HK,9906537.262,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,CH,9584915.854,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,AT,9062736.193,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CH,9043739.727,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,AT,8223101.699,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CA,7806178.996,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,FI,7666929.433,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,CH,7565758.954,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,FI,7524488.895,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,CZ,6717976.148,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,MT,6084428.025,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,PT,5700278.12,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,CZ,5600961.13,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CA,5519575.951,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CA,5406414.485,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,FI,5279583.09,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,SK,5038256.118,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,HK,5022207.719,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,MA,4902987.927,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,AT,4827415.095,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,IL,4818988.123,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CA,4721884.092,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,IL,4648409.831,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CA,4580263.248,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,CR,3838921.81,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,MA,3531149.086,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,SK,3451911.806,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,RU,3311486.902,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,HK,3235825.77,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,IL,3191033.767,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CH,3058864.437,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,SK,3057027.724,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CR,2950459.867,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,CH,2724418.395,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,RU,2699186.36,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,MT,2579768.838,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,LK,2487084.509,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,BE,2351391.658,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,SE,2298498.692,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,MA,2289614.044,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,SE,2158319.416,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,CA,2114374.092,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,PT,1924767.829,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,PT,1915321.858,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,BE,1808394.508,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,HK,1789726.865,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,CH,1780984.181,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,IT,1761264.386,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,IN,1740549.432,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,IN,1736549.209,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,MA,1699149.441,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,RU,1674295.974,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,IT,1629546.094,2023,un_comtrade,technology,8542,integrated_circuits,USD
JP,BE,1396643.274,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,AU,1391563.354,2022,un_comtrade,technology,8542,integrated_circuits,USD
JP,IN,1372384.207,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,IT,1354581.497,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,TR,1329496.654,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,BR,1310686.423,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,LK,1270925.946,2023,un_comtrade,technology,8541,semiconductor_devices,USD
JP,BR,1124745.902,2022,un_comtrade,technology,8541,semiconductor_devices,USD
JP,HK,1062799.259,2024,un_comtrade,technology,8541,semiconductor_devices,USD
JP,MA,1050352.632,2024,un_comtrade,technology,8542,integrated_circuits,USD
JP,NL,1028927.06,2022,un_comtrade,technology,8541,semiconductor_devices,USD
