country,score
AT,0.4558119149
BE,0.3078914418
BG,0.3571177259
CY,0.3476825217
CZ,0.3808200285
DE,0.3290878955
DK,0.4702982110
EE,0.4393525109
EL,0.3354162308
ES,0.3018747918
FI,0.3626878271
FR,0.3091183761
HR,0.3512547066
HU,0.3858031229
IE,0.4647252455
IT,0.3078142306
LT,0.3374762718
LU,0.3598087069
LV,0.3652228164
MT,0.3506812553
NL,0.3199285078
PL,0.3348777978
PT,0.3486041360
RO,0.4054640130
SE,0.3272140315
SI,0.4054001414
SK,0.3999545977
