reporter,partner,value,year,source,axis,product_code,sub_category,unit
JP,AT,2284.839,2023,un_comtrade,critical_inputs,7110,platinum_group,USD
JP,BR,2277.722,2023,un_comtrade,critical_inputs,2614,titanium_ore,USD
JP,PL,2167.331,2022,un_comtrade,critical_inputs,2836,lithium_carbonate,USD
JP,TR,2142.482,2023,un_comtrade,critical_inputs,8108,titanium_unwrought,USD
JP,CO,2121.703,2022,un_comtrade,critical_inputs,8108,titanium_unwrought,USD
JP,NL,2071.303,2023,un_comtrade,critical_inputs,2836,lithium_carbonate,USD
JP,MX,2064.185,2023,un_comtrade,critical_inputs,2804,silicon,USD
JP,ID,2038.052,2022,un_comtrade,critical_inputs,2846,rare_earth_compounds,USD
JP,TH,1993.006,2023,un_comtrade,critical_inputs,2804,silicon,USD
JP,CZ,1857.767,2023,un_comtrade,critical_inputs,8108,titanium_unwrought,USD
JP,IN,1794.702,2022,un_comtrade,critical_inputs,2504,natural_graphite,USD
JP,MX,1608.641,2023,un_comtrade,critical_inputs,2504,natural_graphite,USD
JP,IL,1581.771,2022,un_comtrade,critical_inputs,2804,silicon,USD
JP,LV,1480.519,2023,un_comtrade,critical_inputs,8108,titanium_unwrought,USD
