country,score
AT,0.1490346694
BE,0.1534874408
BG,0.1605296502
CY,0.1240717079
CZ,0.1611676152
DE,0.1018646415
DK,0.1240166314
EE,0.1817249280
EL,0.2007831117
ES,0.1455419499
FI,0.1177507281
FR,0.1003913474
HR,0.2729926531
HU,0.1222296912
IE,0.1466661959
IT,0.1875352551
LT,0.1334963589
LU,0.1146281832
LV,0.1231698821
MT,0.1399878640
NL,0.1210782584
PL,0.1331481245
PT,0.1830360572
RO,0.2003333967
SE,0.1164650366
SI,0.1191757357
SK,0.1616367282
