country,score
AT,0.3185778127
BE,0.1724833027
BG,0.1484376708
CY,0.4235974969
CZ,0.1697691086
DE,0.2231203920
DK,0.4362993461
EE,0.3862277565
EL,0.2220062081
ES,0.1123523417
FI,0.5469999630
FR,0.1612246266
HR,0.5239277176
HU,0.2340521355
IE,0.3071954444
IT,0.2083953410
LT,0.1305606658
LU,0.2229583054
LV,0.1512001208
MT,0.4087498654
NL,0.1301883528
PL,0.1653276679
PT,0.2595561697
RO,0.1581427997
SE,0.1925789119
SI,0.2230112489
SK,0.1549043382
