axis,financial,energy,technology,defense,critical_inputs,logistics
financial,1.0000000000000002,0.06239251241742406,0.07565302526931207,0.023595587191437267,0.21756028976114505,-0.16364910303217003
energy,0.06239251241742406,0.9999999999999998,0.5298579342408711,-0.17521946757370246,0.37202618445626556,0.11168764268216315
technology,0.07565302526931207,0.5298579342408711,1.0,-0.22184662387145468,0.09655485739716846,0.06836089984195406
defense,0.023595587191437267,-0.17521946757370246,-0.22184662387145468,1.0,0.19102463787732243,0.28619043886574314
critical_inputs,0.21756028976114505,0.37202618445626556,0.09655485739716846,0.19102463787732243,0.9999999999999999,0.5485033093411928
logistics,-0.16364910303217003,0.11168764268216315,0.06836089984195406,0.28619043886574314,0.5485033093411928,1.0000000000000002
